"combination(src,dst)",total_propogationloss(dB),total_bendloss(dB),total_couplingloss(dB),total_distance(cm),bitrate,photonic_delay
(27  21),8.517699,0.015,2.0,8.517699,25,7
(27  22),8.392699,0.015,2.0,8.392699,25,7
(27  23),8.517699,0.015,2.0,8.517699,20,9
(27  24),8.392699,0.015,2.0,8.392699,15,11
(27  25),8.517699,0.015,2.0,8.517699,10,17
(27  26),8.392699,0.015,2.0,8.392699,10,17
(27  28),0.125,0.0,2.0,0.125,20,9
(27  29),0.0,0.0,2.0,0.0,20,8
(27  30),0.125,0.0,2.0,0.125,20,9
(27  31),0.0,0.0,2.0,0.0,20,8
(28  16),8.517699,0.015,2.0,8.517699,20,9
(28  17),8.642699,0.015,2.0,8.642699,10,17
(28  18),8.517699,0.015,2.0,8.517699,20,9
(28  19),8.642699,0.015,2.0,8.642699,30,6
(28  20),8.517699,0.015,2.0,8.517699,10,17
(28  21),8.642699,0.015,2.0,8.642699,25,7
(28  22),8.517699,0.015,2.0,8.517699,5,33
(28  23),8.642699,0.015,2.0,8.642699,20,9
(28  24),8.517699,0.015,2.0,8.517699,20,9
(28  25),8.642699,0.015,2.0,8.642699,15,11
(28  26),8.517699,0.015,2.0,8.517699,30,6
(28  27),8.642699,0.015,2.0,8.642699,25,7
(28  29),0.125,0.0,2.0,0.125,5,33
(28  30),0.0,0.0,2.0,0.0,15,11
(28  31),0.125,0.0,2.0,0.125,30,6
(29  16),8.392699,0.015,2.0,8.392699,10,17
(29  17),8.517699,0.015,2.0,8.517699,30,6
(29  18),8.392699,0.015,2.0,8.392699,10,17
(29  19),8.517699,0.015,2.0,8.517699,5,33
(29  20),8.392699,0.015,2.0,8.392699,15,11
(29  21),8.517699,0.015,2.0,8.517699,25,7
(29  22),8.392699,0.015,2.0,8.392699,25,7
(29  23),8.517699,0.015,2.0,8.517699,20,9
(29  24),8.392699,0.015,2.0,8.392699,15,11
(29  25),8.517699,0.015,2.0,8.517699,30,6
(29  26),8.392699,0.015,2.0,8.392699,10,17
(29  27),8.517699,0.015,2.0,8.517699,5,33
(29  28),8.392699,0.015,2.0,8.392699,5,33
(29  30),0.125,0.0,2.0,0.125,25,7
(29  31),0.0,0.0,2.0,0.0,30,6
(30  16),8.517699,0.015,2.0,8.517699,15,11
(30  17),8.642699,0.015,2.0,8.642699,10,17
(30  18),8.517699,0.015,2.0,8.517699,10,17
(30  19),8.642699,0.015,2.0,8.642699,5,33
(30  20),8.517699,0.015,2.0,8.517699,15,11
(30  21),8.642699,0.015,2.0,8.642699,10,17
(30  22),8.517699,0.015,2.0,8.517699,10,17
(30  23),8.642699,0.015,2.0,8.642699,30,6
(30  24),8.517699,0.015,2.0,8.517699,10,17
(30  25),8.642699,0.015,2.0,8.642699,15,11
(30  26),8.517699,0.015,2.0,8.517699,10,17
(30  27),8.642699,0.015,2.0,8.642699,30,6
(30  28),8.517699,0.015,2.0,8.517699,15,11
(30  29),8.642699,0.015,2.0,8.642699,10,17
(30  31),0.125,0.0,2.0,0.125,5,33
(31  16),8.392699,0.015,2.0,8.392699,20,9
(31  17),8.517699,0.015,2.0,8.517699,10,17
(31  18),8.392699,0.015,2.0,8.392699,20,9
(31  19),8.517699,0.015,2.0,8.517699,5,33
(31  20),8.392699,0.015,2.0,8.392699,5,33
(31  21),8.517699,0.015,2.0,8.517699,5,33
(31  22),8.392699,0.015,2.0,8.392699,25,7
(31  23),8.517699,0.015,2.0,8.517699,10,17
(31  24),8.392699,0.015,2.0,8.392699,25,7
(31  25),8.517699,0.015,2.0,8.517699,10,17
(31  26),8.392699,0.015,2.0,8.392699,5,33
(31  27),8.517699,0.015,2.0,8.517699,5,33
(31  28),8.392699,0.015,2.0,8.392699,25,7
(31  29),8.517699,0.015,2.0,8.517699,20,9
(31  30),8.392699,0.015,2.0,8.392699,15,11
(32  33),0.125,0.0,2.0,0.125,30,6
(32  34),0.0,0.0,2.0,0.0,15,11
(32  35),0.125,0.0,2.0,0.125,5,33
(32  36),0.0,0.0,2.0,0.0,5,32
(32  37),0.125,0.0,2.0,0.125,25,7
(32  38),0.0,0.0,2.0,0.0,20,8
(32  39),0.125,0.0,2.0,0.125,30,6
(32  40),0.0,0.0,2.0,0.0,10,16
(32  41),0.125,0.0,2.0,0.125,15,11
(32  42),0.0,0.0,2.0,0.0,30,6
(32  43),0.125,0.0,2.0,0.125,30,6
(32  44),0.0,0.0,2.0,0.0,30,6
(32  45),0.125,0.0,2.0,0.125,20,9
(32  46),0.0,0.0,2.0,0.0,30,6
(32  47),0.125,0.0,2.0,0.125,25,7
(33  32),8.392699,0.02,2.0,8.392699,5,33
(33  34),0.125,0.0,2.0,0.125,15,11
(33  35),0.0,0.0,2.0,0.0,10,16
(33  36),0.125,0.0,2.0,0.125,25,7
(33  37),0.0,0.0,2.0,0.0,20,8
(33  38),0.125,0.0,2.0,0.125,20,9
(33  39),0.0,0.0,2.0,0.0,20,8
(33  40),0.125,0.0,2.0,0.125,15,11
(33  41),0.0,0.0,2.0,0.0,10,16
(33  42),0.125,0.0,2.0,0.125,10,17
(33  43),0.0,0.0,2.0,0.0,25,7
(33  44),0.125,0.0,2.0,0.125,15,11
(33  45),0.0,0.0,2.0,0.0,25,7
(33  46),0.125,0.0,2.0,0.125,10,17
(33  47),0.0,0.0,2.0,0.0,30,6
